[INFO] [2019-08-01 16:20:45][org.springframework.test.context.support.DefaultTestContextBootstrapper]Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener]
[INFO] [2019-08-01 20:53:14][org.springframework.test.context.support.DefaultTestContextBootstrapper]Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@3043fe0e, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@78e67e0a, org.springframework.test.context.support.DependencyInjectionTestExecutionListener@bd8db5a, org.springframework.test.context.support.DirtiesContextTestExecutionListener@2f943d71, org.springframework.test.context.transaction.TransactionalTestExecutionListener@80503, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener@4b553d26]
[INFO] [2019-08-01 20:53:27][org.springframework.test.context.support.DefaultTestContextBootstrapper]Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener]
[INFO] [2019-08-01 20:53:28][org.springframework.test.context.support.DefaultTestContextBootstrapper]Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@3043fe0e, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@78e67e0a, org.springframework.test.context.support.DependencyInjectionTestExecutionListener@bd8db5a, org.springframework.test.context.support.DirtiesContextTestExecutionListener@2f943d71, org.springframework.test.context.transaction.TransactionalTestExecutionListener@80503, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener@4b553d26]
[INFO] [2019-08-01 21:03:31][org.springframework.test.context.support.DefaultTestContextBootstrapper]Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener]
[INFO] [2019-08-01 21:03:31][org.springframework.test.context.support.DefaultTestContextBootstrapper]Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@3043fe0e, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@78e67e0a, org.springframework.test.context.support.DependencyInjectionTestExecutionListener@bd8db5a, org.springframework.test.context.support.DirtiesContextTestExecutionListener@2f943d71, org.springframework.test.context.transaction.TransactionalTestExecutionListener@80503, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener@4b553d26]
[INFO] [2019-08-01 21:03:42][org.springframework.test.context.support.DefaultTestContextBootstrapper]Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener]
[INFO] [2019-08-01 21:03:42][org.springframework.test.context.support.DefaultTestContextBootstrapper]Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@3043fe0e, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@78e67e0a, org.springframework.test.context.support.DependencyInjectionTestExecutionListener@bd8db5a, org.springframework.test.context.support.DirtiesContextTestExecutionListener@2f943d71, org.springframework.test.context.transaction.TransactionalTestExecutionListener@80503, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener@4b553d26]
[INFO] [2019-08-01 21:16:19][org.springframework.test.context.support.DefaultTestContextBootstrapper]Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener]
[INFO] [2019-08-01 21:16:19][org.springframework.test.context.support.DefaultTestContextBootstrapper]Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@3043fe0e, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@78e67e0a, org.springframework.test.context.support.DependencyInjectionTestExecutionListener@bd8db5a, org.springframework.test.context.support.DirtiesContextTestExecutionListener@2f943d71, org.springframework.test.context.transaction.TransactionalTestExecutionListener@80503, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener@4b553d26]
[INFO] [2019-08-01 21:16:31][org.springframework.test.context.support.DefaultTestContextBootstrapper]Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener]
[INFO] [2019-08-01 21:16:31][org.springframework.test.context.support.DefaultTestContextBootstrapper]Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@3043fe0e, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@78e67e0a, org.springframework.test.context.support.DependencyInjectionTestExecutionListener@bd8db5a, org.springframework.test.context.support.DirtiesContextTestExecutionListener@2f943d71, org.springframework.test.context.transaction.TransactionalTestExecutionListener@80503, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener@4b553d26]
[INFO] [2019-08-01 21:20:50][org.springframework.test.context.support.DefaultTestContextBootstrapper]Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener]
[INFO] [2019-08-01 21:20:50][org.springframework.test.context.support.DefaultTestContextBootstrapper]Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@3043fe0e, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@78e67e0a, org.springframework.test.context.support.DependencyInjectionTestExecutionListener@bd8db5a, org.springframework.test.context.support.DirtiesContextTestExecutionListener@2f943d71, org.springframework.test.context.transaction.TransactionalTestExecutionListener@80503, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener@4b553d26]
[INFO] [2019-08-01 21:21:01][org.springframework.test.context.support.DefaultTestContextBootstrapper]Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener]
[INFO] [2019-08-01 21:21:01][org.springframework.test.context.support.DefaultTestContextBootstrapper]Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@3043fe0e, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@78e67e0a, org.springframework.test.context.support.DependencyInjectionTestExecutionListener@bd8db5a, org.springframework.test.context.support.DirtiesContextTestExecutionListener@2f943d71, org.springframework.test.context.transaction.TransactionalTestExecutionListener@80503, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener@4b553d26]
[INFO] [2019-08-02 11:00:41][org.springframework.test.context.support.DefaultTestContextBootstrapper]Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener]
[INFO] [2019-08-02 11:00:41][org.springframework.test.context.support.DefaultTestContextBootstrapper]Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@3043fe0e, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@78e67e0a, org.springframework.test.context.support.DependencyInjectionTestExecutionListener@bd8db5a, org.springframework.test.context.support.DirtiesContextTestExecutionListener@2f943d71, org.springframework.test.context.transaction.TransactionalTestExecutionListener@80503, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener@4b553d26]
